 


Daily Data Between Two Dates
 ARCADIA (FL)
 USC00080228

Date,TMAX,TMIN,
1911-01-15,77,49,
1911-01-16,77,45,
1911-01-17,79,49,
1911-01-18,79,52,
1911-01-19,79,54,
1911-01-20,75,59,
1911-01-21,81,50,
1911-01-22,81,48,
1911-01-23,81,50,
1911-01-24,80,59,
1911-01-25,80,59,
1911-01-26,80,53,
1911-01-27,81,53,
1911-01-28,80,49,
1911-01-29,80,49,
1911-01-30,82,49,
1911-01-31,80,55,
1911-02-01,77,58,
1911-02-02,80,49,
1911-02-03,80,53,
1911-02-04,76,53,
1911-02-05,80,47,
1911-02-06,83,48,
1911-02-07,83,48,
1911-02-08,83,49,
1911-02-09,85,48,
1911-02-10,76,59,
1911-02-11,81,52,
1911-02-12,87,54,
1911-02-13,88,54,
1911-02-14,84,61,
1911-02-15,85,53,
1911-02-16,82,54,
1911-02-17,81,58,
1911-02-18,82,49,
1911-02-19,85,47,
1911-02-20,85,47,
1911-02-21,76,47,
1911-02-22,67,39,
1911-02-23,64,32,
1911-02-24,69,29,
1911-02-25,71,28,
1911-02-26,78,36,
1911-02-27,82,51,
1911-02-28,85,51,
1911-03-01,85,48,
1911-03-02,81,57,
1911-03-03,78,46,
1911-03-04,83,43,
1911-03-05,84,48,
1911-03-06,86,44,
1911-03-07,87,48,
1911-03-08,83,61,
1911-03-09,79,58,
1911-03-10,83,42,
1911-03-11,85,52,
1911-03-12,88,54,
1911-03-13,89,58,
1911-03-14,86,55,
1911-03-15,84,60,
1911-03-16,75,44,
1911-03-17,80,46,
1911-03-18,85,46,
1911-03-19,89,62,
1911-03-20,89,66,
1911-03-21,88,51,
1911-03-22,88,62,
1911-03-23,85,61,
1911-03-24,75,61,
1911-03-25,70,61,
1911-03-26,87,62,
1911-03-27,90,60,
1911-03-28,75,68,
1911-03-29,83,62,
1911-03-30,83,64,
1911-03-31,84,51,
1911-04-01,89,55,
1911-04-02,90,65,
1911-04-03,88,64,
1911-04-04,89,64,
1911-04-05,92,65,
1911-04-06,96,66,
1911-04-07,95,65,
1911-04-08,96,66,
1911-04-09,95,64,
1911-04-10,89,65,
1911-04-11,89,63,
1911-04-12,90,64,
1911-04-13,90,64,
1911-04-14,88,62,
1911-04-15,92,58,
1911-04-16,90,60,
1911-04-17,83,62,
1911-04-18,85,60,
1911-04-19,93,60,
1911-04-20,93,66,
1911-04-21,92,58,
1911-04-22,92,65,
1911-04-23,94,59,
1911-04-24,73,67,
1911-04-25,79,60,
1911-04-26,80,57,
1911-04-27,84,65,
1911-04-28,85,66,
1911-04-29,89,56,
1911-04-30,88,54,
1911-05-01,92,59,
1911-05-02,97,63,
1911-05-03,94,61,
1911-05-04,81,67,
1911-05-05,83,66,
1911-05-06,84,67,
1911-05-07,86,65,
1911-05-08,84,54,
1911-05-09,90,50,
1911-05-10,92,52,
1911-05-11,92,54,
1911-05-12,91,54,
1911-05-13,92,61,
1911-05-14,88,62,
1911-05-15,86,66,
1911-05-16,82,69,
1911-05-17,86,67,
1911-05-18,80,70,
1911-05-19,92,65,
1911-05-20,93,62,
1911-05-21,90,68,
1911-05-22,88,66,
1911-05-23,89,68,
1911-05-24,90,66,
1911-05-25,91,65,
1911-05-26,93,63,
1911-05-27,95,66,
1911-05-28,94,65,
1911-05-29,93,62,
1911-05-30,93,61,
1911-05-31,93,62,
1911-06-01,97,62,
1911-06-02,99,75,
1911-06-03,94,62,
1911-06-04,95,66,
1911-06-05,96,66,
1911-06-06,98,66,
1911-06-07,95,69,
1911-06-08,90,68,
1911-06-09,91,66,
1911-06-10,92,65,
1911-06-11,96,64,
1911-06-12,95,66,
1911-06-13,95,71,
1911-06-14,96,71,
1911-06-15,96,69,
1911-06-16,99,68,
1911-06-17,97,67,
1911-06-18,91,67,
1911-06-19,89,70,
1911-06-20,88,71,
1911-06-21,96,70,
1911-06-22,96,72,
1911-06-23,96,71,
1911-06-24,98,70,
1911-06-25,98,69,
1911-06-26,98,71,
1911-06-27,94,70,
1911-06-28,93,69,
1911-06-29,90,69,
1911-06-30,97,67,
1911-07-01,97,68,
1911-07-02,95,67,
1911-07-03,90,68,
1911-07-04,89,M,
1911-07-05,94,66,
1911-07-06,94,70,
1911-07-07,91,70,
1911-07-08,91,68,
1911-07-09,90,71,
1911-07-10,91,69,
1911-07-11,92,68,
1911-07-12,93,68,
1911-07-13,95,69,
1911-07-14,91,68,
1911-07-15,94,69,
1911-07-16,94,68,
1911-07-17,94,69,
1911-07-18,95,70,
1911-07-19,95,70,
1911-07-20,95,69,
1911-07-21,96,71,
1911-07-22,95,69,
1911-07-23,95,70,
1911-07-24,95,70,
1911-07-25,95,71,
1911-07-26,93,72,
1911-07-27,84,68,
1911-07-28,89,69,
1911-07-29,92,65,
1911-07-30,91,69,
1911-07-31,91,70,
1911-08-01,89,71,
1911-08-02,91,72,
1911-08-03,90,70,
1911-08-04,90,68,
1911-08-05,90,70,
1911-08-06,90,72,
1911-08-07,92,72,
1911-08-08,93,70,
1911-08-09,88,70,
1911-08-10,85,72,
1911-08-11,92,72,
1911-08-12,89,74,
1911-08-13,91,74,
1911-08-14,83,73,
1911-08-15,94,71,
1911-08-16,95,72,
1911-08-17,96,69,
1911-08-18,97,67,
1911-08-19,95,66,
1911-08-20,93,65,
1911-08-21,92,69,
1911-08-22,88,68,
1911-08-23,93,69,
1911-08-24,93,72,
1911-08-25,92,75,
1911-08-26,94,69,
1911-08-27,95,71,
1911-08-28,92,72,
1911-08-29,92,72,
1911-08-30,89,72,
1911-08-31,95,71,
1911-09-01,93,70,
1911-09-02,93,69,
1911-09-03,92,69,
1911-09-04,94,72,
1911-09-05,93,71,
1911-09-06,93,71,
1911-09-07,93,69,
1911-09-08,95,72,
1911-09-09,91,70,
1911-09-10,91,72,
1911-09-11,95,70,
1911-09-12,94,73,
1911-09-13,96,71,
1911-09-14,95,73,
1911-09-15,91,73,
1911-09-16,90,67,
1911-09-17,92,63,
1911-09-18,92,69,
1911-09-19,87,68,
1911-09-20,91,69,
1911-09-21,91,68,
1911-09-22,92,69,
1911-09-23,94,73,
1911-09-24,92,68,
1911-09-25,92,70,
1911-09-26,91,72,
1911-09-27,88,71,
1911-09-28,90,71,
1911-09-29,90,70,
1911-09-30,90,68,
1911-10-01,92,65,
1911-10-02,91,65,
1911-10-03,93,62,
1911-10-04,94,66,
1911-10-05,93,70,
1911-10-06,93,67,
1911-10-07,93,65,
1911-10-08,94,66,
1911-10-09,93,65,
1911-10-10,93,64,
1911-10-11,92,62,
1911-10-12,92,63,
1911-10-13,92,67,
1911-10-14,95,71,
1911-10-15,95,71,
1911-10-16,90,70,
1911-10-17,85,68,
1911-10-18,82,70,
1911-10-19,86,67,
1911-10-20,89,63,
1911-10-21,87,66,
1911-10-22,90,70,
1911-10-23,86,67,
1911-10-24,86,66,
1911-10-25,90,68,
1911-10-26,89,71,
1911-10-27,88,73,
1911-10-28,88,72,
1911-10-29,81,72,
1911-10-30,83,70,
1911-10-31,86,73,
1911-11-01,79,72,
1911-11-02,81,69,
1911-11-03,76,68,
1911-11-04,81,68,
1911-11-05,83,69,
1911-11-06,87,70,
1911-11-07,89,69,
1911-11-08,89,64,
1911-11-09,90,69,
1911-11-10,89,66,
1911-11-11,89,M,
1911-11-12,89,M,
1911-11-13,80,62,
1911-11-14,89,63,
1911-11-15,89,65,
1911-11-16,84,65,
1911-11-17,89,65,
1911-11-18,88,67,
1911-11-19,73,56,
1911-11-20,74,60,
1911-11-21,77,59,
1911-11-22,76,52,
1911-11-23,80,56,
1911-11-24,83,63,
1911-11-25,73,60,
1911-11-26,M,54,
1911-11-27,81,56,
1911-11-28,83,69,
1911-11-29,83,46,
1911-11-30,54,40,
1911-12-01,64,33,
1911-12-02,65,40,
1911-12-03,66,35,
1911-12-04,67,37,
1911-12-05,74,44,
1911-12-06,75,51,
1911-12-07,75,52,
1911-12-08,79,55,
1911-12-09,80,55,
1911-12-10,80,52,
1911-12-11,80,55,
1911-12-12,81,60,
1911-12-13,81,61,
1911-12-14,85,69,
1911-12-15,85,68,
1911-12-16,85,68,
1911-12-17,84,67,
1911-12-18,77,60,
1911-12-19,73,65,
1911-12-20,84,66,
1911-12-21,85,62,
1911-12-22,85,69,
1911-12-23,84,64,
1911-12-24,85,64,
1911-12-25,85,61,
1911-12-26,85,62,
1911-12-27,83,58,
1911-12-28,68,41,
1911-12-29,74,45,
1911-12-30,79,51,
1911-12-31,82,61,
1912-01-01,76,62,
1912-01-02,75,59,
1912-01-03,81,66,
1912-01-04,72,61,
1912-01-05,66,40,
1912-01-06,66,31,
1912-01-07,77,45,
1912-01-08,83,65,
1912-01-09,78,63,
1912-01-10,70,41,
1912-01-11,78,56,
1912-01-12,79,68,
1912-01-13,74,66,
1912-01-14,66,47,
1912-01-15,64,34,
1912-01-16,58,38,
1912-01-17,69,38,
1912-01-18,78,53,
1912-01-19,80,63,
1912-01-20,79,61,
1912-01-21,71,60,
1912-01-22,74,64,
1912-01-23,79,62,
1912-01-24,75,62,
1912-01-25,75,54,
1912-01-26,72,65,
1912-01-27,79,63,
1912-01-28,80,52,
1912-01-29,84,65,
1912-01-30,84,64,
1912-01-31,85,44,
1912-02-01,61,34,
1912-02-02,68,48,
1912-02-03,67,38,
1912-02-04,75,42,
1912-02-05,65,49,
1912-02-06,51,42,
1912-02-07,57,34,
1912-02-08,60,35,
1912-02-09,67,30,
1912-02-10,65,47,
1912-02-11,63,51,
1912-02-12,62,37,
1912-02-13,73,41,
1912-02-14,75,62,
1912-02-15,67,58,
1912-02-16,70,40,
1912-02-17,77,56,
1912-02-18,73,64,
1912-02-19,74,40,
1912-02-20,83,42,
1912-02-21,82,63,
1912-02-22,70,44,
1912-02-23,63,45,
1912-02-24,83,62,
1912-02-25,88,70,
1912-02-26,87,65,
1912-02-27,76,M,
1912-02-28,71,43,
1912-02-29,73,57,
1912-03-01,75,61,
1912-03-02,77,54,
1912-03-03,81,68,
1912-03-04,85,57,
1912-03-05,84,62,
1912-03-06,85,65,
1912-03-07,75,62,
1912-03-08,81,62,
1912-03-09,81,63,
1912-03-10,73,63,
1912-03-11,81,52,
1912-03-12,80,65,
1912-03-13,81,55,
1912-03-14,86,63,
1912-03-15,86,69,
1912-03-16,75,57,
1912-03-17,81,67,
1912-03-18,81,64,
1912-03-19,83,61,
1912-03-20,85,60,
1912-03-21,87,65,
1912-03-22,89,64,
1912-03-23,88,65,
1912-03-24,85,68,
1912-03-25,69,59,
1912-03-26,75,52,
1912-03-27,83,54,
1912-03-28,86,60,
1912-03-29,89,72,
1912-03-30,89,70,
1912-03-31,88,68,
1912-04-01,89,63,
1912-04-02,90,61,
1912-04-03,77,69,
1912-04-04,78,53,
1912-04-05,81,60,
1912-04-06,82,59,
1912-04-07,85,67,
1912-04-08,85,63,
1912-04-09,84,67,
1912-04-10,88,66,
1912-04-11,84,68,
1912-04-12,88,66,
1912-04-13,90,65,
1912-04-14,93,71,
1912-04-15,93,68,
1912-04-16,93,70,
1912-04-17,90,72,
1912-04-18,83,71,
1912-04-19,85,70,
1912-04-20,91,71,
1912-04-21,95,71,
1912-04-22,94,72,
1912-04-23,93,70,
1912-04-24,85,66,
1912-04-25,86,70,
1912-04-26,89,70,
1912-04-27,93,70,
1912-04-28,90,71,
1912-04-29,90,69,
1912-04-30,95,68,
1912-05-01,92,68,
1912-05-02,83,70,
1912-05-03,92,69,
1912-05-04,90,65,
1912-05-05,92,71,
1912-05-06,91,70,
1912-05-07,89,73,
1912-05-08,87,71,
1912-05-09,86,71,
1912-05-10,93,69,
1912-05-11,86,75,
1912-05-12,88,74,
1912-05-13,90,69,
1912-05-14,93,71,
1912-05-15,84,72,
1912-05-16,85,70,
1912-05-17,87,67,
1912-05-18,88,70,
1912-05-19,89,70,
1912-05-20,79,70,
1912-05-21,86,70,
1912-05-22,90,73,
1912-05-23,94,73,
1912-05-24,94,72,
1912-05-25,96,74,
1912-05-26,96,75,
1912-05-27,95,70,
1912-05-28,93,71,
1912-05-29,92,77,
1912-05-30,94,74,
1912-05-31,98,71,
1912-06-01,90,71,
1912-06-02,90,70,
1912-06-03,89,72,
1912-06-04,91,72,
1912-06-05,88,74,
1912-06-06,84,73,
1912-06-07,85,72,
1912-06-08,80,74,
1912-06-09,81,72,
1912-06-10,79,70,
1912-06-11,86,72,
1912-06-12,89,73,
1912-06-13,87,73,
1912-06-14,90,75,
1912-06-15,95,78,
1912-06-16,95,77,
1912-06-17,96,76,
1912-06-18,95,72,
1912-06-19,92,73,
1912-06-20,93,74,
1912-06-21,92,72,
1912-06-22,87,71,
1912-06-23,92,73,
1912-06-24,94,72,
1912-06-25,86,72,
1912-06-26,84,72,
1912-06-27,88,71,
1912-06-28,89,71,
1912-06-29,91,72,
1912-06-30,91,74,
1912-07-01,91,74,
1912-07-02,92,73,
1912-07-03,92,73,
1912-07-04,92,72,
1912-07-05,92,74,
1912-07-06,92,73,
1912-07-07,88,69,
1912-07-08,90,70,
1912-07-09,92,74,
1912-07-10,91,74,
1912-07-11,90,74,
1912-07-12,90,74,
1912-07-13,93,71,
1912-07-14,92,72,
1912-07-15,88,72,
1912-07-16,92,71,
1912-07-17,89,74,
1912-07-18,92,72,
1912-07-19,90,74,
1912-07-20,90,74,
1912-07-21,93,75,
1912-07-22,94,74,
1912-07-23,95,73,
1912-07-24,94,72,
1912-07-25,93,76,
1912-07-26,92,76,
1912-07-27,94,75,
1912-07-28,95,75,
1912-07-29,92,76,
1912-07-30,90,75,
1912-07-31,89,72,
1912-08-01,91,73,
1912-08-02,94,72,
1912-08-03,93,72,
1912-08-04,90,73,
1912-08-05,91,75,
1912-08-06,92,72,
1912-08-07,93,M,
1912-08-08,93,71,
1912-08-09,92,71,
1912-08-10,93,73,
1912-08-11,92,71,
1912-08-12,91,71,
1912-08-13,92,73,
1912-08-14,91,75,
1912-08-15,92,72,
1912-08-16,92,72,
1912-08-17,93,73,
1912-08-18,94,75,
1912-08-19,93,72,
1912-08-20,95,72,
1912-08-21,94,72,
1912-08-22,88,73,
1912-08-23,92,72,
1912-08-24,92,72,
1912-08-25,93,72,
1912-08-26,92,71,
1912-08-27,92,72,
1912-08-28,91,73,
1912-08-29,92,73,
1912-08-30,93,71,
1912-08-31,93,72,
1912-09-01,93,74,
1912-09-02,95,71,
1912-09-03,96,70,
1912-09-04,96,72,
1912-09-05,94,73,
1912-09-06,91,72,
1912-09-07,90,71,
1912-09-08,78,72,
1912-09-09,82,71,
1912-09-10,86,76,
1912-09-11,91,73,
1912-09-12,85,75,
1912-09-13,92,75,
1912-09-14,93,73,
1912-09-15,90,74,
1912-09-16,90,73,
1912-09-17,92,73,
1912-09-18,91,72,
1912-09-19,91,70,
1912-09-20,91,71,
1912-09-21,87,71,
1912-09-22,91,74,
1912-09-23,88,76,
1912-09-24,91,74,
1912-09-25,92,73,
1912-09-26,90,72,
1912-09-27,90,73,
1912-09-28,92,72,
1912-09-29,91,74,
1912-09-30,93,75,
1912-10-01,90,73,
1912-10-02,90,72,
1912-10-03,86,72,
1912-10-04,82,73,
1912-10-05,86,72,
1912-10-06,85,73,
1912-10-07,85,65,
1912-10-08,87,60,
1912-10-09,88,70,
1912-10-10,87,70,
1912-10-11,87,69,
1912-10-12,90,72,
1912-10-13,90,73,
1912-10-14,90,75,
1912-10-15,91,73,
1912-10-16,90,74,
1912-10-17,87,74,
1912-10-18,87,70,
1912-10-19,87,70,
1912-10-20,83,74,
1912-10-21,88,72,
1912-10-22,90,68,
1912-10-23,85,69,
1912-10-24,86,70,
1912-10-25,84,67,
1912-10-26,80,65,
1912-10-27,82,63,
1912-10-28,83,65,
1912-10-29,82,65,
1912-10-30,84,66,
1912-10-31,83,70,
1912-11-01,85,66,
1912-11-02,76,60,
1912-11-03,70,50,
1912-11-04,79,56,
1912-11-05,81,64,
1912-11-06,83,67,
1912-11-07,81,70,
1912-11-08,72,58,
1912-11-09,77,56,
1912-11-10,80,57,
1912-11-11,80,59,
1912-11-12,81,60,
1912-11-13,81,60,
1912-11-14,82,61,
1912-11-15,73,55,
1912-11-16,74,52,
1912-11-17,75,55,
1912-11-18,75,57,
1912-11-19,77,54,
1912-11-20,78,58,
1912-11-21,76,66,
1912-11-22,78,65,
1912-11-23,77,62,
1912-11-24,75,56,
1912-11-25,66,47,
1912-11-26,68,45,
1912-11-27,75,49,
1912-11-28,66,49,
1912-11-29,73,44,
1912-11-30,76,58,
1912-12-01,77,65,
1912-12-02,79,66,
1912-12-03,83,65,
1912-12-04,83,67,
1912-12-05,84,63,
1912-12-06,84,68,
1912-12-07,84,64,
1912-12-08,81,60,
1912-12-09,67,58,
1912-12-10,77,56,
1912-12-11,75,56,
1912-12-12,75,57,
1912-12-13,77,56,
1912-12-14,78,60,
1912-12-15,71,62,
1912-12-16,70,61,
1912-12-17,81,60,
1912-12-18,80,60,
1912-12-19,66,52,
1912-12-20,70,38,
1912-12-21,74,56,
1912-12-22,79,58,
1912-12-23,82,61,
1912-12-24,76,68,
1912-12-25,75,57,
1912-12-26,76,55,
1912-12-27,77,58,
1912-12-28,67,42,
1912-12-29,78,60,
1912-12-30,83,66,
1912-12-31,83,67,
1913-01-01,77,70,
1913-01-02,80,67,
1913-01-03,73,52,
1913-01-04,69,46,
1913-01-05,79,50,
1913-01-06,83,67,
1913-01-07,84,66,
1913-01-08,84,65,
1913-01-09,82,66,
1913-01-10,80,63,
1913-01-11,81,62,
1913-01-12,82,65,
1913-01-13,80,56,
1913-01-14,73,65,
1913-01-15,79,61,
1913-01-16,78,57,
1913-01-17,79,58,
1913-01-18,82,62,
1913-01-19,82,65,
1913-01-20,83,64,
1913-01-21,83,58,
1913-01-22,84,60,
1913-01-23,84,62,
1913-01-24,86,63,
1913-01-25,84,62,
1913-01-26,84,66,
1913-01-27,74,66,
1913-01-28,71,56,
1913-01-29,68,39,
1913-01-30,74,40,
1913-01-31,78,57,
1913-02-01,73,60,
1913-02-02,82,64,
1913-02-03,83,62,
1913-02-04,83,65,
1913-02-05,79,65,
1913-02-06,80,61,
1913-02-07,79,59,
1913-02-08,80,60,
1913-02-09,76,48,
1913-02-10,80,50,
1913-02-11,83,50,
1913-02-12,82,66,
1913-02-13,82,60,
1913-02-14,70,55,
1913-02-15,60,53,
1913-02-16,64,45,
1913-02-17,74,38,
1913-02-18,75,45,
1913-02-19,78,62,
1913-02-20,79,57,
1913-02-21,80,64,
1913-02-22,83,57,
1913-02-23,80,62,
1913-02-24,80,65,
1913-02-25,71,51,
1913-02-26,81,56,
1913-02-27,84,66,
1913-02-28,87,68,
1913-03-01,84,70,
1913-03-02,78,55,
1913-03-03,78,55,
